Date,Open,High,Low,Close,Adj Close,Volume
2016-06-01,108.900002,108.980003,106.519997,106.720001,93.131477,4282120
2016-06-02,106.980003,108.330002,106.500000,108.000000,94.248497,5778230
2016-06-03,108.279999,109.669998,107.849998,109.099998,95.208427,6119470
2016-06-06,108.830002,111.500000,108.500000,111.199997,97.041039,5727610
2016-06-07,110.500000,113.120003,110.169998,112.400002,98.088249,9596190
2016-06-08,112.019997,113.830002,109.800003,111.650002,97.433739,11357743
2016-06-09,111.459999,111.830002,110.110001,111.000000,96.866516,6995690
2016-06-10,110.000000,112.139999,107.660004,110.809998,96.700699,4161130
2016-06-14,110.800003,113.260002,110.760002,113.099998,98.699120,12661690
2016-06-15,113.269997,115.889999,113.099998,115.739998,101.002975,7503010
2016-06-16,115.940002,115.940002,113.339996,114.900002,100.269928,6588443
2016-06-17,115.000000,115.000000,113.089996,113.089996,98.690384,4622312
2016-06-20,113.599998,119.000000,113.599998,119.000000,103.847878,8869040
2016-06-21,119.010002,119.260002,115.809998,117.059998,102.154892,5431290
2016-06-22,117.000000,117.870003,115.820000,117.010002,102.111259,3104510
2016-06-23,116.500000,117.389999,115.739998,117.050003,102.146172,3797780
2016-06-24,114.000000,117.370003,112.209999,114.099998,99.571793,4435180
2016-06-27,114.139999,116.190002,112.000000,112.000000,97.739182,5469450
2016-06-28,112.489998,113.180000,111.120003,112.989998,98.603119,3191780
2016-06-29,113.180000,113.980003,112.500000,113.750000,99.266350,2747750
2016-06-30,113.550003,114.500000,112.099998,112.519997,98.192963,2990510
2016-07-01,112.000000,112.849998,110.699997,112.440002,98.123161,3483760
2016-07-04,112.470001,113.059998,111.410004,112.900002,98.524582,2402090
2016-07-05,112.470001,112.580002,109.879997,110.779999,96.674522,2982790
2016-07-06,110.150002,112.040001,110.099998,111.000000,96.866516,3438210
2016-07-07,111.470001,113.059998,111.470001,113.059998,98.664207,4971170
2016-07-08,112.930000,115.500000,112.000000,115.220001,100.549179,7498740
2016-07-11,115.199997,119.190002,115.000000,119.190002,104.013687,8473010
2016-07-12,119.389999,120.220001,117.809998,119.980003,104.703102,7988110
2016-07-13,119.790001,120.000000,118.220001,119.699997,104.458748,5076000
2016-07-14,119.800003,119.800003,117.309998,119.610001,104.380203,2729340
2016-07-15,119.000000,120.900002,118.199997,120.000000,104.720551,4861840
